"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 588.5915770167 588.5915770167 681.5315770167 681.5315770167
4 569.5538696893 569.5538696893 662.4938696893 662.4938696893
18 541.4253552036 541.4253552036 634.3653552036 634.3653552036
150 595.7424652103 541.4253552036 688.6824652103 634.3653552036
