"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 1135.5012120888 1135.5012120888 1228.4412120888 1228.4412120888
5 307.4488017530 307.4488017530 400.3888017530 400.3888017530
10 5452.8349551249 307.4488017530 5545.7749551248 400.3888017530
