"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 80.944179 80.944179 121.724179 121.724179
2 78.606988 78.606988 119.386988 119.386988
5 76.802607 76.802607 117.582607 117.582607
7 74.804472 74.804472 115.584472 115.584472
10 79.197479 74.804472 119.977479 115.584472
