"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 82.792752 82.792752 123.572752 123.572752
4 79.179778 79.179778 119.959778 119.959778
9 73.833081 73.833081 114.613081 114.613081
11 73.810197 73.810197 114.590197 114.590197
12 73.489736 73.489736 114.269736 114.269736
19 72.013732 72.013732 112.793732 112.793732
20 69.086343 69.086343 109.866343 109.866343
21 66.069128 66.069128 106.849128 106.849128
23 59.904110 59.904110 100.684110 100.684110
25 58.306724 58.306724 99.086724 99.086724
27 53.877789 53.877789 94.657789 94.657789
