"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 19.734374 19.734374 60.514374 60.514374
2 17.807486 17.807486 58.587486 58.587486
6 8.873331 8.873331 49.653331 49.653331
8 6.504555 6.504555 47.284555 47.284555
11 1.911561 1.911561 42.691561 42.691561
16 1.607006 1.607006 42.387006 42.387006
