"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 80.131872 80.131872 120.911872 120.911872
2 78.108041 78.108041 118.888041 118.888041
12 71.580939 71.580939 112.360939 112.360939
21 69.216398 69.216398 109.996398 109.996398
32 69.050074 69.050074 109.830074 109.830074
53 62.302434 62.302434 103.082434 103.082434
75 61.302309 61.302309 102.082309 102.082309
106 39.285620 39.285620 80.065620 80.065620
114 32.602799 32.602799 73.382799 73.382799
117 28.570775 28.570775 69.350775 69.350775
122 22.615936 22.615936 63.395936 63.395936
126 20.634324 20.634324 61.414324 61.414324
133 19.170181 19.170181 59.950181 59.950181
134 13.755424 13.755424 54.535424 54.535424
147 11.746165 11.746165 52.526165 52.526165
156 10.996214 10.996214 51.776214 51.776214
167 10.176208 10.176208 50.956208 50.956208
171 9.625181 9.625181 50.405181 50.405181
186 8.071270 8.071270 48.851270 48.851270
194 8.035172 8.035172 48.815172 48.815172
206 7.830852 7.830852 48.610852 48.610852
208 7.736680 7.736680 48.516680 48.516680
211 7.722449 7.722449 48.502449 48.502449
222 7.600974 7.600974 48.380974 48.380974
224 7.570810 7.570810 48.350810 48.350810
226 7.548646 7.548646 48.328646 48.328646
234 7.484319 7.484319 48.264319 48.264319
240 7.444732 7.444732 48.224732 48.224732
257 7.415486 7.415486 48.195486 48.195486
260 7.409789 7.409789 48.189789 48.189789
263 7.393790 7.393790 48.173790 48.173790
331 4.786058 4.786058 45.566058 45.566058
343 2.864156 2.864156 43.644156 43.644156
344 2.617279 2.617279 43.397279 43.397279
345 2.398111 2.398111 43.178111 43.178111
348 2.087326 2.087326 42.867326 42.867326
354 2.009106 2.009106 42.789106 42.789106
379 1.918677 1.918677 42.698677 42.698677
382 1.731256 1.731256 42.511256 42.511256
387 1.387915 1.387915 42.167915 42.167915
416 1.356276 1.356276 42.136276 42.136276
419 1.321610 1.321610 42.101610 42.101610
1003 44.735333 1.321610 85.515333 42.101610
