"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 82.792752 82.792752 123.572752 123.572752
4 79.179778 79.179778 119.959778 119.959778
7 77.520678 77.520678 118.300678 118.300678
16 74.348136 74.348136 115.128136 115.128136
17 73.777832 73.777832 114.557832 114.557832
19 73.598666 73.598666 114.378666 114.378666
20 72.696562 72.696562 113.476562 113.476562
24 69.508985 69.508985 110.288985 110.288985
30 68.884961 68.884961 109.664961 109.664961
31 65.253237 65.253237 106.033237 106.033237
