"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 82.792752 82.792752 123.572752 123.572752
4 79.179778 79.179778 119.959778 119.959778
7 77.520678 77.520678 118.300678 118.300678
14 77.266687 77.266687 118.046687 118.046687
15 72.788266 72.788266 113.568266 113.568266
16 71.779890 71.779890 112.559890 112.559890
18 69.767598 69.767598 110.547598 110.547598
19 69.715042 69.715042 110.495042 110.495042
23 69.193293 69.193293 109.973293 109.973293
25 66.580762 66.580762 107.360762 107.360762
26 61.036991 61.036991 101.816991 101.816991
27 59.667890 59.667890 100.447890 100.447890
28 54.376190 54.376190 95.156190 95.156190
29 51.318748 51.318748 92.098748 92.098748
