"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 80.944179 80.944179 121.724179 121.724179
2 78.606988 78.606988 119.386988 119.386988
5 76.802607 76.802607 117.582607 117.582607
7 74.804472 74.804472 115.584472 115.584472
21 64.403712 64.403712 105.183712 105.183712
51 64.024191 64.024191 104.804191 104.804191
87 62.206873 62.206873 102.986873 102.986873
109 54.863646 54.863646 95.643646 95.643646
261 37.915286 37.915286 78.695286 78.695286
1582 29.071161 29.071161 69.851161 69.851161
4506 22.496470 22.496470 63.276470 63.276470
5625 20.691966 20.691966 61.471966 61.471966
8625 12.981071 12.981071 53.761071 53.761071
18058 9.971691 9.971691 50.751691 50.751691
100000 84.289133 9.971691 125.069133 50.751691
