"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 84.2623661659 84.2623661659 125.0423661659 125.0423661659
2 82.5027023233 82.5027023233 123.2827023233 123.2827023233
3 78.9858157289 78.9858157289 119.7658157289 119.7658157289
4 78.8197975081 78.8197975081 119.5997975081 119.5997975081
8 67.1098730206 67.1098730206 107.8898730206 107.8898730206
10 76.6784194921 67.1098730206 117.4584194921 107.8898730206
