"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 1282.7976389360 1282.7976389360 1375.7376389360 1375.7376389360
2 2943.8992707092 1282.7976389360 3036.8392707092 1375.7376389360
