"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
21 13.2395136868 1.9995571609 323.8595136868 312.6195571609
23 10.9594868212 1.9995571609 321.5794868212 312.6195571609
24 10.9276365553 1.9995571609 321.5476365553 312.6195571609
26 2.0255537985 1.9995571609 312.6455537985 312.6195571609
27 0.7944867894 0.7944867894 311.4144867894 311.4144867894
267 0.5371167289 0.5371167289 311.1571167289 311.1571167289
549 0.3510375581 0.3510375581 310.9710375581 310.9710375581
590 22.8933132511 0.3510375581 333.5133132511 310.9710375581
