"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 81.159922 81.159922 121.939922 121.939922
2 70.972959 70.972959 111.752959 111.752959
8 69.445098 69.445098 110.225098 110.225098
54 55.288916 55.288916 96.068916 96.068916
71 29.605022 29.605022 70.385022 70.385022
93 26.217478 26.217478 66.997478 66.997478
95 25.725734 25.725734 66.505734 66.505734
101 23.773642 23.773642 64.553642 64.553642
103 22.824960 22.824960 63.604960 63.604960
115 20.945061 20.945061 61.725061 61.725061
117 20.323168 20.323168 61.103168 61.103168
134 19.440419 19.440419 60.220419 60.220419
137 19.429442 19.429442 60.209442 60.209442
138 16.313489 16.313489 57.093489 57.093489
144 15.556151 15.556151 56.336151 56.336151
151 13.930380 13.930380 54.710380 54.710380
173 10.114323 10.114323 50.894323 50.894323
197 9.935643 9.935643 50.715643 50.715643
211 9.374637 9.374637 50.154637 50.154637
217 9.371733 9.371733 50.151733 50.151733
221 9.212890 9.212890 49.992890 49.992890
232 8.860341 8.860341 49.640341 49.640341
269 8.814417 8.814417 49.594417 49.594417
272 8.776082 8.776082 49.556082 49.556082
394 8.743456 8.743456 49.523456 49.523456
401 7.693091 7.693091 48.473091 48.473091
403 7.463827 7.463827 48.243827 48.243827
421 6.371808 6.371808 47.151808 47.151808
423 5.876140 5.876140 46.656140 46.656140
427 5.787175 5.787175 46.567175 46.567175
432 5.306423 5.306423 46.086423 46.086423
452 5.295756 5.295756 46.075756 46.075756
453 5.159432 5.159432 45.939432 45.939432
455 4.289927 4.289927 45.069927 45.069927
457 4.103219 4.103219 44.883219 44.883219
459 3.824067 3.824067 44.604067 44.604067
470 3.780575 3.780575 44.560575 44.560575
471 3.599459 3.599459 44.379459 44.379459
481 3.393676 3.393676 44.173676 44.173676
505 3.359850 3.359850 44.139850 44.139850
508 3.324813 3.324813 44.104813 44.104813
511 3.302085 3.302085 44.082085 44.082085
512 3.217153 3.217153 43.997153 43.997153
531 3.203233 3.203233 43.983233 43.983233
535 3.195990 3.195990 43.975990 43.975990
987 2.805385 2.805385 43.585385 43.585385
1000 7.081311 2.805385 47.861311 43.585385
